Shoulder_Pan,Shoulder_Lift,Elbow,Wrist_1,Wrist_2,Wrist_3,TCP_X,TCP_Y,TCP_Z,Orientation_X,Orientation_Y,Orientation_Z
1.95977,0.307833,-0.272113,1.74285,-0.547551,1.49207,-0.368138,0.610392,-0.0340974,-0.337305,0.930936,-0.13994
-0.387321,0.310008,3.05784,0.615064,-3.12501,1.94871,0.127386,0.0659179,0.110583,-0.411608,0.174515,-0.894496
-0.765012,0.310086,2.79123,1.46225,0.583149,1.85659,0.152347,0.00504935,-0.0422854,-0.817144,0.569289,0.090472
-2.22706,-1.46843,-1.51731,-2.89598,2.97929,2.94514,0.318981,0.235302,0.485694,0.3715,0.742125,0.557887
-3.09017,-0.0492907,0.323942,-1.38847,1.29282,-2.1815,-0.880187,-0.154599,-0.0380467,-0.831895,0.509346,-0.220268
-3.03992,-0.921387,-1.80654,-0.173277,0.547999,1.37527,0.0902937,-0.100505,0.677247,0.0823762,-0.0933387,-0.992221
-0.660227,-0.892476,-0.00127283,1.74447,1.17406,-1.51308,0.41548,-0.184417,0.66339,-0.571769,0.511325,-0.641581
-0.31598,0.265271,-0.437043,0.398036,1.2969,2.17358,0.770909,-0.137201,-0.0474542,0.148087,-0.622645,0.768364
-1.45357,-0.554516,1.71693,3.14167,-2.49521,1.90534,0.179041,-0.587045,-0.00947745,0.107176,0.780739,-0.615597
0.340647,-1.23904,1.25629,3.14168,1.43226,-0.6811,0.465203,0.280703,0.578856,-0.145681,0.764707,0.627694
0.665189,-0.365286,0.910413,-1.11982,-2.55293,2.82078,0.549331,0.569651,-0.0418616,-0.981313,-0.100098,-0.164333
-0.198606,-0.179038,-3.05693,1.35068,3.10302,0.640449,0.136932,0.0837799,0.157159,-0.793947,0.191331,0.577096
-2.53257,-1.3033,-1.87591,1.30751,-0.796738,1.72991,0.217657,0.0187329,0.512346,0.865201,0.465314,-0.186845
1.42389,-0.67998,1.84875,-0.0159944,-2.48857,-1.33416,-0.0497951,0.409153,-0.0430095,0.0219211,-0.824931,-0.564808
1.30402,0.309963,-2.42285,1.18485,-0.871441,-2.93704,-0.0319665,0.297073,0.238805,-0.580338,0.718815,0.382769
1.21118,0.310279,-0.722123,2.48605,2.38771,-0.525327,0.137574,0.676083,0.162074,-0.815967,-0.487598,-0.310557
0.594186,-1.28411,-1.22924,-0.776126,1.44122,3.12663,-0.236042,-0.0277506,0.820964,0.451015,-0.891875,-0.0338369
-1.86058,-1.75855,0.258127,3.14162,1.15497,-1.68897,0.146365,0.108881,0.904627,0.180652,0.983293,0.0223437
-0.419883,0.309887,-2.31927,0.64216,-0.496533,1.49299,0.346632,-0.0352147,0.295544,-0.919287,0.369848,0.134624
-2.17838,-0.336893,1.16736,0.789529,0.0185807,0.0975064,-0.23645,-0.531252,-0.0552761,-0.0682623,-0.130564,0.989087
-2.16415,-0.159698,0.729139,1.19164,-1.80644,-1.99061,-0.276866,-0.605734,-0.0368417,0.819892,0.50689,0.266155
2.88287,-1.63136,2.48751,-2.76686,-1.01742,1.82457,-0.337828,-0.0234996,0.248659,0.870095,-0.45122,-0.198329
1.74996,-0.296984,0.868609,-1.98721,-1.70481,1.26018,-0.255278,0.797065,-0.0133089,0.464572,-0.865449,0.18754
0.651783,-0.63843,2.52191,-3.14186,0.0604423,0.468123,0.180794,0.275245,-0.0598902,-0.591715,-0.383684,-0.708985
-0.159026,-0.56222,2.73939,-3.14165,0.0515285,-2.55126,0.228409,0.0739127,-0.0605444,0.911678,-0.18955,0.364573
0.37242,-0.635818,2.48327,-3.14214,-0.0136519,0.409487,0.263819,0.220244,-0.0615985,-0.585158,-0.242037,-0.773956
1.12248,-0.880148,-0.382162,-2.05599,2.15951,-1.4491,0.063397,0.383627,0.883673,-0.195376,-0.173285,0.965298
-0.224248,-0.528378,1.41468,-2.04074,0.943782,-0.753424,0.70832,-0.0496032,-0.0387571,0.572622,0.475177,-0.668065
0.189075,-0.596514,1.89019,-3.14159,-0.72379,-2.25513,0.51964,0.210569,-0.0234819,0.526036,0.52689,0.667587
1.85542,-0.606663,-1.319,-0.208665,0.486297,0.856466,-0.186999,0.25045,0.749834,-0.201376,-0.402054,-0.893197
1.14738,0.310011,-1.74355,1.34734,-1.89967,-0.85487,0.092186,0.470206,0.253767,0.679749,-0.00345757,-0.733437
-2.7841,-2.25612,-0.0634168,-1.73619,2.71639,1.33319,0.610539,0.111546,0.763322,-0.564517,-0.314519,-0.76315
0.0305812,0.304632,-2.26258,-0.731902,-2.21492,-1.36108,0.295177,0.118231,0.410058,0.319437,-0.156778,0.934548
1.73543,-0.421884,-0.619454,-1.09643,-0.831646,-1.13694,-0.216777,0.638798,0.652566,0.156102,0.955986,0.24844
0.035184,-2.36284,2.7868,1.83971,-2.39447,1.9723,-0.0216418,0.108456,0.286773,0.881472,0.296755,-0.367347
-0.829955,-0.851127,-2.60242,-0.612725,-1.14756,-2.44236,-0.0333536,0.198192,0.345369,0.040348,0.98981,0.136558
2.56741,-0.750699,-2.94759,-2.27087,-2.15948,-1.31918,-0.0160494,-0.119615,0.0817921,0.253254,0.0827826,-0.963851
1.72782,0.309875,-2.58209,-2.46939,-2.1152,0.869825,-0.116725,0.0392588,0.256446,0.423956,0.850404,-0.311566
-0.151961,-0.328207,-1.48084,0.479807,2.17907,-1.47205,0.413537,0.0470926,0.584684,0.980671,-0.0683325,-0.183342
-0.800383,0.310165,-0.790719,-0.436273,-2.4299,-0.611607,0.654741,-0.517936,0.0831884,0.196312,-0.970092,0.142767
-0.753415,0.309845,-0.599038,0.287649,-0.196233,2.86021,0.644206,-0.45461,-0.0232167,0.815057,-0.507707,0.279134
0.264706,0.0438536,2.76017,1.83168,2.88429,2.86042,0.11511,0.144291,-0.0521323,-0.134361,-0.289728,-0.947631
-0.779654,-0.580151,2.51346,2.28877,2.25918,0.266127,0.289982,-0.133187,-6.38146e-05,0.153571,0.895899,0.416871
-2.02803,-1.5647,-2.21172,-0.575863,-0.410945,-2.09133,0.275327,0.312355,0.314886,0.607625,0.784956,-0.120981
-1.38882,-0.549069,1.53938,-2.29338,2.50841,2.56031,0.228408,-0.638131,-0.0420723,-0.614449,0.606581,-0.504491
-1.03165,-1.16729,2.341,3.04923,-2.54498,-0.997502,0.30011,-0.28903,0.162796,0.0108589,-0.611731,0.790991
-0.0392207,0.309726,-2.17787,1.46719,2.35441,2.481,0.330822,0.0962523,0.247513,-0.773985,-0.529408,0.347383
-0.02818,0.309699,-1.27381,-0.298452,1.86514,1.24318,0.721401,0.0888589,0.253166,-0.864844,0.332448,0.376195
-0.177881,-0.890479,1.94757,0.997561,1.16435,-2.00323,0.389687,0.0408415,0.121951,-0.935012,-0.223013,0.275713
2.7301,-1.64634,-1.84785,1.46291,2.22661,2.53624,0.245416,-0.226194,0.419549,0.523661,0.482543,-0.70209
